episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
1120,1.0,3.0500056960467385,0.6832646744650996,0.029209323272850227,-30.0,0.6,0,5.001,False,True,0.7922871582144287,0,17.671677230923088,1597010462.0314267,in_progress
1120,2.0,3.0603907586576895,0.685358611547972,0.881160787628035,-15.0,1.2,3,5.001,False,True,0.8510580966672818,0,17.671677230923088,1597010462.1364229,in_progress
1120,3.0,3.131982404019201,0.6989644513020741,4.883765571311897,-30.0,1.2,1,5.001,False,True,1.2562064256184466,1,17.671677230923088,1597010462.2313123,in_progress
1120,4.0,3.1901033453822922,0.7077734926701708,6.152691553861439,-15.0,0.6,2,5.001,False,True,1.5851174067452818,1,17.671677230923088,1597010462.3369539,in_progress
1120,5.0,3.2728484915386455,0.7191128406085601,6.9025670152493355,0.0,1.2,5,5.001,False,True,2.0533762692622934,1,17.671677230923088,1597010462.4332795,in_progress
1120,6.0,3.368006304305683,0.7323897381203907,7.4785802974035684,-30.0,0.6,0,5.001,False,True,2.59187950274054,1,17.671677230923088,1597010462.5373638,in_progress
1120,7.0,3.465361714652272,0.7428717646483968,6.832095932693942,-15.0,0.6,2,5.001,False,True,3.142812785831061,2,17.671677230923088,1597010462.6315906,in_progress
1120,8.0,3.5381704854441103,0.7456186093113333,4.44819944058754,15.0,1.2,7,5.001,False,True,3.5548265817463705,3,17.671677230923088,1597010462.739807,in_progress
1120,9.0,3.627990561282355,0.748692965618098,3.363050788203986,15.0,0.6,6,5.001,False,True,4.063104138171751,3,17.671677230923088,1597010462.8320854,in_progress
1120,10.0,3.7109650847771336,0.753325761326012,3.094468261111956,15.0,0.6,6,5.001,False,True,4.532647426988128,3,17.671677230923088,1597010462.938816,in_progress
1120,11.0,3.791759690219572,0.7614072338216278,4.0919116661896195,30.0,0.6,8,5.001,False,True,4.989862033297415,3,17.671677230923088,1597010463.031752,in_progress
1120,12.0,3.850539107428233,0.7718617395006038,6.078881431885694,-30.0,1.2,1,5.001,False,True,5.322502508028308,3,17.671677230923088,1597010463.1440938,in_progress
1120,13.0,3.9398121716367465,0.7889540208240735,8.317170715608466,-30.0,0.6,0,5.001,False,True,5.827713009464783,4,17.671677230923088,1597010463.2336946,in_progress
1120,14.0,4.026138460570552,0.8008765067474163,8.08962713295139,-15.0,1.2,3,5.001,False,True,6.316237922447565,4,17.671677230923088,1597010463.341888,in_progress
