episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
400,1.0,3.0500067676744664,0.6832768816438186,0.03398924553100507,0.0,0.6,4,5.001,False,True,0.7922932470089789,0,17.671677230923088,1597006705.9576519,in_progress
400,2.0,3.0580838235219074,0.6854817432870397,0.9151036836950309,-15.0,1.2,3,5.001,False,True,0.8380039256500006,0,17.671677230923088,1597006706.0654948,in_progress
400,3.0,3.103416780692952,0.6960826054444523,4.405398175312126,-30.0,1.2,1,5.001,False,True,1.0945542439186087,0,17.671677230923088,1597006706.158388,in_progress
400,4.0,3.1748442570946285,0.7087312436536758,6.672217038046385,-30.0,0.6,0,5.001,False,True,1.49877164166547,1,17.671677230923088,1597006706.2639341,in_progress
400,5.0,3.250395221942147,0.7168939486115384,6.413285682887782,-30.0,0.6,0,5.001,False,True,1.9263138453502207,1,17.671677230923088,1597006706.3594208,in_progress
400,6.0,3.315372272942913,0.7200777447370792,5.071300915827327,30.0,0.6,8,5.001,False,True,2.2940106080032927,1,17.671677230923088,1597006706.4647613,in_progress
400,7.0,3.3847188371539727,0.7233474596297722,4.183477768070804,-30.0,0.6,0,5.001,False,True,2.68643362380541,2,17.671677230923088,1597006706.5595193,in_progress
400,8.0,3.4442688791888547,0.7254576428778494,3.426060979228548,0.0,0.6,4,5.001,False,True,3.0234180076922637,2,17.671677230923088,1597006706.6652665,in_progress
400,9.0,3.514564522597823,0.7264663903725712,2.349830253680223,15.0,0.6,6,5.001,False,True,3.421207072275733,2,17.671677230923088,1597006706.7604218,in_progress
400,10.0,3.563280755849524,0.7286016297288699,2.409377730440445,15.0,0.6,6,5.001,False,True,3.6968854522588663,3,17.671677230923088,1597006706.8674743,in_progress
400,11.0,3.6350804672704977,0.7335227301799222,3.046130146606654,15.0,0.6,6,5.001,False,True,4.103193609842077,3,17.671677230923088,1597006706.959672,in_progress
400,12.0,3.697815259103328,0.7407670927666073,4.298412363693749,30.0,0.6,8,5.001,False,True,4.458210153715442,3,17.671677230923088,1597006707.068778,in_progress
400,13.0,3.768826247246172,0.7552801666392269,7.188365928867238,30.0,0.6,8,5.001,False,True,4.860074511205009,3,17.671677230923088,1597006707.1620471,in_progress
400,14.0,3.8237822357222218,0.7722571965908831,10.517141833996778,-30.0,0.6,0,5.001,False,True,5.171092269675612,3,17.671677230923088,1597006707.2657177,in_progress
400,15.0,3.886291006650122,0.7919668022052243,13.0451085519045,-30.0,0.6,0,5.001,False,True,5.524855030736006,3,17.671677230923088,1597006707.3615417,in_progress
400,16.0,3.944278195936797,0.8077779350886418,13.809473307794983,-30.0,0.6,0,5.001,False,True,5.8530233050202645,4,17.671677230923088,1597006707.4688795,in_progress
400,17.0,4.010487353793794,0.8208397594081924,12.770923757056368,15.0,0.6,6,5.001,False,True,6.2277122634164765,4,17.671677230923088,1597006707.5643651,in_progress
400,18.0,4.068320827382146,0.8309538569987186,11.822668265805563,0.0,1.2,5,5.001,False,True,6.554999170138487,4,17.671677230923088,1597006707.6671135,in_progress
400,19.0,4.153443660602716,0.8451744053677483,10.715384668851629,-15.0,0.6,2,5.001,False,True,7.0367186506644055,4,17.671677230923088,1597006707.7619164,in_progress
400,20.0,4.227984587540535,0.8539587485672413,9.035813696362505,-30.0,0.6,0,5.001,False,True,7.458546537645717,4,17.671677230923088,1597006707.869089,in_progress
400,21.0,4.3048228557256545,0.8559228584579649,5.820216324739095,15.0,0.6,6,5.001,False,True,7.893360757359326,4,17.671677230923088,1597006707.963028,in_progress
