episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
640,1.0,3.049988660867149,0.6832526371218636,0.023928683304626296,0.0,1.2,5,5.001,False,True,0.7921907356646591,0,17.671677230923088,1597007847.1127622,in_progress
640,2.0,3.058295650704281,0.6853754152272091,0.8530552913916738,30.0,0.6,8,5.001,False,True,0.8392023922851648,0,17.671677230923088,1597007847.2212532,in_progress
640,3.0,3.1016055676791168,0.7000657911868355,5.785424532996558,-30.0,1.2,1,5.001,False,True,1.0843130605315918,0,17.671677230923088,1597007847.3138375,in_progress
640,4.0,3.152132615932866,0.7190397018458392,10.499090564031906,-15.0,1.2,3,5.001,False,True,1.3702724955717305,1,17.671677230923088,1597007847.421716,in_progress
640,5.0,3.2547785496286052,0.7600084119665749,16.74651761140792,-30.0,1.2,1,5.001,False,True,1.9512053209270166,1,17.671677230923088,1597007847.5149174,in_progress
640,6.0,3.3547345507175903,0.7986855346213776,19.016484763063236,-30.0,0.6,0,5.001,False,True,2.516911794741327,1,17.671677230923088,1597007847.6231835,in_progress
640,7.0,3.459177634020042,0.8322387583138278,18.37753471521835,-30.0,0.6,0,5.001,False,True,3.107999278107101,2,17.671677230923088,1597007847.717155,in_progress
640,8.0,3.5398846186388377,0.8498591647598832,15.640760009332304,-15.0,0.6,2,5.001,False,True,3.5647373560107867,3,17.671677230923088,1597007847.8215537,in_progress
640,9.0,3.609754053646406,0.8606531555894058,12.892828282033063,15.0,0.6,6,5.001,False,True,3.960134400558552,3,17.671677230923088,1597007847.9157002,in_progress
640,10.0,3.6629305471711393,0.8686349108895143,11.510224949318491,-15.0,1.2,3,5.001,False,True,4.261064204686108,3,17.671677230923088,1597007848.023678,in_progress
640,11.0,3.7403998371670157,0.8775243252819035,9.308170931076617,15.0,0.6,6,5.001,False,True,4.699463243327583,3,17.671677230923088,1597007848.1163323,in_progress
640,12.0,3.8256064529598413,0.885359705884935,7.2406991056712044,-30.0,1.2,1,5.001,False,True,5.181643912737007,3,17.671677230923088,1597007848.2232773,in_progress
640,13.0,3.9299248179298147,0.8888277672465206,4.163203194716015,0.0,0.6,4,5.001,False,True,5.771964779307221,4,17.671677230923088,1597007848.3171878,in_progress
640,14.0,4.009619149467005,0.8864550338707627,1.4800884182414662,-15.0,0.6,2,5.001,False,True,6.222932036851038,4,17.671677230923088,1597007848.427198,in_progress
640,15.0,4.086873838244815,0.8790926052166221,-1.4555389919729975,-30.0,1.2,1,5.001,False,True,6.660083817610447,4,17.671677230923088,1597007848.5182798,in_progress
640,16.0,4.15323483226143,0.8652269032010419,-5.538146987974922,-15.0,1.2,3,5.001,False,True,7.035577506144366,4,17.671677230923088,1597007848.624878,in_progress
640,17.0,4.25466282793577,0.8329108147585281,-12.225710265935577,-30.0,0.6,0,5.001,False,True,7.609470038072512,4,17.671677230923088,1597007848.7191923,in_progress
640,18.0,4.342947615943159,0.7918399705701393,-18.837476334314484,-30.0,1.2,1,5.001,False,True,8.108970442073996,4,17.671677230923088,1597007848.8242002,in_progress
640,19.0,4.424671940187706,0.7346862530509539,-27.325682704208297,-15.0,0.6,2,5.001,False,True,8.571314140278037,5,17.671677230923088,1597007848.9186096,in_progress
640,20.0,4.489203233927442,0.6758569351075947,-34.50500532495461,30.0,1.2,9,5.001,False,True,8.936363007754377,5,17.671677230923088,1597007849.0256984,in_progress
640,21.0,4.562084364420497,0.6019892474767832,-40.15811244386474,30.0,0.6,8,5.001,False,True,9.348631274700912,6,17.671677230923088,1597007849.1196709,in_progress
640,22.0,4.623596758338865,0.5438084772069914,-41.537472176856106,30.0,1.2,9,5.001,False,True,9.696598188227671,6,17.671677230923088,1597007849.2253153,in_progress
