episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status
120,1.0,3.0499956640512904,0.683264906326004,0.029396260405651683,-15.0,0.6,2,5.001,False,True,0.7922303899100331,0,17.671677230923088,1597005382.2498126,in_progress
120,2.0,3.055200240406606,0.6846668406144885,0.6110337598408245,15.0,0.6,6,5.001,False,True,0.8216847374461883,0,17.671677230923088,1597005382.3344548,in_progress
120,3.0,3.0789654402335582,0.69238979145794,3.4064341801124582,-15.0,0.6,2,5.001,False,True,0.9561822105683462,0,17.671677230923088,1597005382.4391365,in_progress
120,4.0,3.1289542657514433,0.707686139764082,7.610150586509161,15.0,0.6,6,5.001,False,True,1.2390885258810458,1,17.671677230923088,1597005382.5333858,in_progress
120,5.0,3.1829472420660996,0.7268828460613498,11.521783502406878,30.0,0.6,8,5.001,False,True,1.5446613085712257,1,17.671677230923088,1597005382.641584,in_progress
120,6.0,3.237967814424841,0.7533295873052859,16.44198370061052,-30.0,1.2,1,5.001,False,True,1.8560636903361196,1,17.671677230923088,1597005382.733978,in_progress
120,7.0,3.3087156062459573,0.7916864016915611,21.618663970472532,0.0,0.6,4,5.001,False,True,2.25648691721953,1,17.671677230923088,1597005382.839674,in_progress
120,8.0,3.370971964786697,0.8270386141408996,24.982365250714256,-30.0,0.6,0,5.001,False,True,2.6088529800914673,2,17.671677230923088,1597005382.9344923,in_progress
120,9.0,3.420597063635731,0.8537707532384141,26.052711269803158,-30.0,0.6,0,5.001,False,True,2.8897241844132053,2,17.671677230923088,1597005383.0391593,in_progress
120,10.0,3.480375647377658,0.882395686505615,25.82222554468153,0.0,1.2,5,5.001,False,True,3.228055474739184,2,17.671677230923088,1597005383.1342351,in_progress
120,11.0,3.5504884299556796,0.9122748451234959,24.62087120599705,-15.0,1.2,3,4.002000000000001,False,False,3.6248681782195606,3,17.671677230923088,1597005383.2391303,in_progress
120,12.0,3.6555060791728553,0.9492415534732214,21.50470934206805,-30.0,1.2,1,4.002000000000001,False,False,4.21921390483256,3,17.671677230923088,1597005383.3342104,in_progress
120,13.0,3.770323832918953,0.9748376691924684,16.086187251889527,-30.0,0.6,0,4.002000000000001,False,False,4.868993185847726,3,17.671677230923088,1597005383.442428,in_progress
120,14.0,3.873199608029287,0.9812140381238622,9.171857004953095,-30.0,0.6,0,4.002000000000001,False,False,5.451156648895871,3,17.671677230923088,1597005383.5346265,in_progress
120,15.0,3.941467876057543,0.975428981124766,3.663472221706508,-30.0,1.2,1,4.002000000000001,False,False,5.837459513997632,4,17.671677230923088,1597005383.6434076,in_progress
120,16.0,4.020781328745892,0.9575161745501386,-3.7061083373270627,-30.0,0.6,0,4.002000000000001,False,False,6.2862400264011224,4,17.671677230923088,1597005383.735636,in_progress
120,17.0,4.094221548210597,0.9289182581995794,-12.226909804825386,-15.0,1.2,3,4.002000000000001,False,False,6.701763634006269,4,17.671677230923088,1597005383.8418422,in_progress
120,18.0,4.178210990355611,0.8783873860989263,-21.905914729346414,15.0,0.6,6,4.002000000000001,False,False,7.176938516562552,4,17.671677230923088,1597005383.93549,in_progress
120,19.0,4.243285471948435,0.8317689662426803,-29.078875058709684,-15.0,0.6,2,5.001,False,True,7.5450858637087865,4,17.671677230923088,1597005384.0452902,in_progress
120,20.0,4.299666492177759,0.7823942019864341,-34.08560584313929,-15.0,0.6,2,5.001,False,True,7.864033318209304,4,17.671677230923088,1597005384.1360488,in_progress
120,21.0,4.339620995040577,0.7421249352802752,-37.74167400672616,30.0,0.6,8,5.001,False,True,8.090045275963647,4,17.671677230923088,1597005384.2425067,in_progress
120,22.0,4.381992542278895,0.6995040342199714,-40.31205569600938,0.0,1.2,5,5.001,False,True,8.329729979426459,5,17.671677230923088,1597005384.336292,in_progress
120,23.0,4.433718394388965,0.6484639645577783,-42.09426113453012,0.0,1.2,5,5.001,False,True,8.622331529557732,5,17.671677230923088,1597005384.44589,in_progress
120,24.0,4.511038102912611,0.5672324189562342,-44.580723269133536,30.0,1.2,9,5.001,False,True,9.059701800362035,5,17.671677230923088,1597005384.5365665,in_progress
120,25.0,4.586944699689468,0.49207129754085,-44.57615272996356,30.0,1.2,9,5.001,False,True,9.489087874727167,6,17.671677230923088,1597005384.6420813,in_progress
120,26.0,4.68948753494491,0.40658478282130783,-41.422139540466695,-15.0,0.6,2,4.002000000000001,False,False,10.06918146262157,6,17.671677230923088,1597005384.7367685,in_progress
120,27.0,4.769046064220466,0.3453338111362048,-39.504795084557706,-30.0,0.6,0,4.002000000000001,False,False,10.51926113173448,6,17.671677230923088,1597005384.8467011,in_progress
120,28.0,4.839421642628689,0.28511359445040313,-40.21938556199386,0.0,0.6,4,4.002000000000001,False,False,10.917378660207692,6,17.671677230923088,1597005384.9390087,in_progress
120,29.0,4.882704999247583,0.24466130562533261,-41.180365396149995,15.0,0.6,6,4.002000000000001,True,False,11.162227472368993,6,17.671677230923088,1597005385.0516453,off_track
121,1.0,3.9335919004811988,0.6835083341159468,0.00017248329995837755,15.0,1.2,7,5.001,False,True,0.7923005894943748,4,17.671677230923088,1597005385.3756816,in_progress
121,2.0,3.9388518950345874,0.6838691071825255,0.12491470763248493,0.0,1.2,5,5.001,False,True,0.822066429647418,4,17.671677230923088,1597005385.4406962,in_progress
121,3.0,3.956561031077488,0.684873803428229,0.49434597715787104,-30.0,1.2,1,5.001,False,True,0.9222804266997064,4,17.671677230923088,1597005385.5405023,in_progress
