episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
180,1.0,3.1998384016383294,0.6832357801436677,0.19032643069336683,20.0,2.0,11,0.0,False,True,0.7911500951021078,1,17.709159380834848,497.176,prepare,0.0
180,2.0,3.1997327938476787,0.6831032114197834,0.18326595495146542,-10.000000000000004,1.0,4,1.0,False,True,0.7905513581379284,1,17.709159380834848,497.272,in_progress,0.0
180,3.0,3.2060404579647455,0.6847202763649308,0.5956363687470565,20.0,2.0,11,1.0,False,True,0.8261984718173198,1,17.709159380834848,497.335,in_progress,0.0
180,4.0,3.2265467600091204,0.6887981876998074,1.5385899169984925,30.0,2.0,13,1.0,False,True,0.9420134839039597,1,17.709159380834848,497.403,in_progress,0.0
180,5.0,3.259632463759239,0.6987034575977632,3.6858016683117234,-30.0,2.0,1,1.0,False,True,1.1289271175746804,1,17.709159380834848,497.468,in_progress,0.0
180,6.0,3.3070410211261976,0.7157854166055387,6.95037173561425,-30.0,2.0,1,1.0,False,True,1.3967809385507428,2,17.709159380834848,497.536,in_progress,0.0
180,7.0,3.3610864175995343,0.7326674660208066,9.30787964718483,9.999999999999998,1.0,8,1.0,False,True,1.7017541186036582,2,17.709159380834848,497.607,in_progress,0.0
180,8.0,3.433077474583662,0.7573153207840086,12.085759627776417,0.0,1.0,6,1.0,False,True,2.108308162366224,2,17.709159380834848,497.666,in_progress,0.0
180,9.0,3.4990001915324602,0.7794456377494614,13.809371254133788,-10.000000000000004,2.0,5,0.5,False,True,2.480591928388204,3,17.709159380834848,497.741,in_progress,0.0
180,10.0,3.5722773099386593,0.8039386742361451,15.250861499134917,-10.000000000000004,1.0,4,0.5,False,True,2.8945045696717844,3,17.709159380834848,497.805,in_progress,0.0
180,11.0,3.642935360843224,0.8247505914210785,15.59187538944707,-10.000000000000004,1.0,4,0.5,False,True,3.2935425890459413,4,17.709159380834848,497.873,in_progress,0.0
180,12.0,3.7255829237746543,0.8488273389784903,15.84309603648881,9.999999999999998,2.0,9,0.5,False,True,3.760269780590321,4,17.709159380834848,497.942,in_progress,0.0
180,13.0,3.8086851710175695,0.8743055153670379,16.218984370569796,-30.0,1.0,0,0.1,False,True,4.229557033150625,5,17.709159380834848,498.006,in_progress,0.0
180,14.0,3.8879734205944523,0.8952360352651838,15.891277010419513,0.0,1.0,6,0.1,False,True,4.677322643121956,6,17.709159380834848,498.064,in_progress,0.0
180,15.0,3.9750292483622456,0.9203952205408608,15.99075198234013,30.0,1.0,12,0.1,False,True,5.168957947443492,6,17.709159380834848,498.138,in_progress,0.0
180,16.0,4.04570258471456,0.9441239636867242,16.825356184373476,-20.0,1.0,2,0.1,False,True,5.568082350821968,7,17.709159380834848,498.207,in_progress,0.0
180,17.0,4.113586639260923,0.9679912354346071,17.524215876869388,-10.000000000000004,1.0,4,0.1,False,True,5.951466593951247,7,17.709159380834848,498.276,in_progress,0.0
180,18.0,4.1840043560686935,0.9945819463867893,18.484549306594953,-30.0,2.0,1,0.1,False,True,6.34915412214189,8,17.709159380834848,498.348,in_progress,0.0
180,19.0,4.266820711563378,1.0221836918337863,18.379870356829453,30.0,1.0,12,0.1,False,False,6.816867459619588,8,17.709159380834848,498.411,in_progress,0.0
180,20.0,4.3357137785071025,1.0415336215032789,17.6628175699332,20.0,1.0,10,0.1,False,False,7.205931780096389,9,17.709159380834848,498.467,in_progress,0.0
180,21.0,4.416111219028757,1.0658204289125983,17.41775669094677,-20.0,1.0,2,0.001,False,False,7.65996037774964,9,17.709159380834848,498.549,in_progress,0.0
180,22.0,4.494481350598851,1.0866509202575971,16.649869607832294,30.0,1.0,12,0.001,False,False,8.102542278687647,10,17.709159380834848,498.607,in_progress,0.0
180,23.0,4.5571724625365935,1.1036085873540022,16.278071786528105,30.0,2.0,13,0.001,False,False,8.45658019211022,10,17.709159380834848,498.673,in_progress,0.0
180,24.0,4.6324551693087965,1.1305760635752793,17.311601811188247,20.0,1.0,10,0.001,False,False,8.881770486837004,11,17.709159380834848,498.733,in_progress,0.0
180,25.0,4.706180173706475,1.1602481814022148,18.761613940945722,9.999999999999998,2.0,9,0.001,False,False,9.298142060278035,11,17.709159380834848,498.808,in_progress,0.0
180,26.0,4.781091814887791,1.1947319960618565,20.614187101293368,30.0,2.0,13,0.001,False,False,9.72127368530981,11,17.709159380834848,498.872,in_progress,0.0
180,27.0,4.869439248553138,1.23969489109841,22.946184500420046,-30.0,1.0,0,0.001,True,False,10.220264317471969,12,17.709159380834848,498.939,off_track,0.0
181,1.0,4.0853886395554,0.683664759703407,0.04429947601496729,0.0,1.0,6,0.0,False,True,0.7916703491101011,7,17.709159380834848,499.074,prepare,0.0
181,2.0,4.085190493550286,0.6836132374880972,0.01993050474270704,0.0,2.0,7,1.0,False,True,0.7905513581378705,7,17.709159380834848,499.142,in_progress,0.0
181,3.0,4.0905634689024355,0.6851312190872545,0.5008515806030314,-20.0,2.0,3,1.0,False,True,0.8208944271698166,7,17.709159380834848,499.198,in_progress,0.0
181,4.0,4.110248309542361,0.6840160320219356,0.1384958538931533,-30.0,2.0,1,1.0,False,True,0.9320485142980506,7,17.709159380834848,499.272,in_progress,0.0
181,5.0,4.141708935278322,0.6813523426995056,-0.5381370618895783,0.0,1.0,6,1.0,False,True,1.109694899862599,7,17.709159380834848,499.344,in_progress,0.0
181,6.0,4.189990748380089,0.6740241429503584,-2.159915311166883,0.0,1.0,6,1.0,False,True,1.382317766225677,8,17.709159380834848,499.406,in_progress,0.0
