episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,3.199869998172519,0.683116927028006,0.1857896729860877,-30.0,1.0,0,0.0,False,True,0.7913263666557174,1,17.709159380834848,6.211,prepare,0.0
0,2.0,3.1997327938476117,0.6831032114197831,0.18326595495146542,-30.0,1.0,0,1.0,False,True,0.7905513581379272,1,17.709159380834848,6.279,in_progress,0.0
0,3.0,3.2113168061166695,0.682398856238808,-0.011866062442963612,-30.0,1.0,0,1.0,False,True,0.8559578148653099,1,17.709159380834848,6.344,in_progress,0.0
0,4.0,3.234724482199452,0.6792825792790272,-0.7975976200617461,-10.000000000000004,1.0,4,1.0,False,True,0.9881090709186592,1,17.709159380834848,6.409,in_progress,0.0
0,5.0,3.276725516281729,0.6739888334428169,-1.9944740047725467,-10.000000000000004,1.0,4,1.0,False,True,1.2252342636461888,1,17.709159380834848,6.478,in_progress,0.0
0,6.0,3.3256147640817835,0.6671054794218004,-3.2666696192965237,-10.000000000000004,1.0,4,1.0,False,True,1.50124199880814,2,17.709159380834848,6.5440000000000005,in_progress,0.0
0,7.0,3.3831714562252286,0.6564611840936897,-4.989217098479721,-10.000000000000004,1.0,4,1.0,False,True,1.8263547111803224,2,17.709159380834848,6.6129999999999995,in_progress,0.0
0,8.0,3.445861094254312,0.6430070825424062,-6.791226121879336,20.0,1.0,10,1.0,False,True,2.1803309992792754,3,17.709159380834848,6.678,in_progress,0.0
0,9.0,3.5125358602518904,0.6295075768235939,-8.053755131576363,30.0,1.0,12,1.0,False,True,2.5567671822414737,3,17.709159380834848,6.743,in_progress,0.0
0,10.0,3.583183666143431,0.6189280362303909,-8.205293404512702,30.0,1.0,12,1.0,False,True,2.955677223308827,3,17.709159380834848,6.814,in_progress,0.0
0,11.0,3.6557391992739716,0.615905659186136,-6.548238037792654,20.0,1.0,10,1.0,False,True,3.36537669125456,4,17.709159380834848,6.876,in_progress,0.0
0,12.0,3.725172417067677,0.6200750131119231,-3.8271716202114456,20.0,1.0,10,1.0,False,True,3.7574689888069126,4,17.709159380834848,6.944,in_progress,0.0
0,13.0,3.7975048443886323,0.6258138066384095,-1.5137570060653975,-10.000000000000004,1.0,4,1.0,False,True,4.165927490044434,5,17.709159380834848,7.011,in_progress,0.0
0,14.0,3.8685846520742904,0.6318219895669924,0.21764780927841937,-10.000000000000004,1.0,4,1.0,False,True,4.56732082839031,5,17.709159380834848,7.078,in_progress,0.0
0,15.0,3.937563930910337,0.6403172960162549,2.0929690502261304,-10.000000000000004,1.0,4,1.0,False,True,4.956849367246714,6,17.709159380834848,7.146,in_progress,0.0
0,16.0,4.009379720204504,0.646164731313025,2.777786640590357,-10.000000000000004,1.0,4,1.0,False,True,5.362389982687918,6,17.709159380834848,7.209,in_progress,0.0
0,17.0,4.080255505401282,0.6504608154386511,2.9254751827673093,-10.000000000000004,1.0,4,1.0,False,True,5.762619446345638,7,17.709159380834848,7.28,in_progress,0.0
0,18.0,4.151114164427883,0.6550902143502305,3.152575988714644,-10.000000000000004,1.0,4,1.0,False,True,6.162751845054045,7,17.709159380834848,7.341,in_progress,0.0
0,19.0,4.218314731582535,0.6576092128615048,2.909132429042832,-10.000000000000004,1.0,4,1.0,False,True,6.542224707308194,8,17.709159380834848,7.413,in_progress,0.0
0,20.0,4.290424685017503,0.6575786136335176,2.083914022081373,-10.000000000000004,1.0,4,1.0,False,True,6.949413909975257,8,17.709159380834848,7.475,in_progress,0.0
0,21.0,4.356154368559739,0.6561100758536367,1.261382267651098,-10.000000000000004,1.0,4,1.0,False,True,7.320572979707187,9,17.709159380834848,7.545,in_progress,0.0
0,22.0,4.42897264524405,0.6537252942407868,0.3731872078485194,-10.000000000000004,1.0,4,1.0,False,True,7.731758696085346,9,17.709159380834848,7.61,in_progress,0.0
0,23.0,4.493787239482936,0.6491438925788869,-0.7461623726730409,-10.000000000000004,1.0,4,1.0,False,True,8.09774422671677,10,17.709159380834848,7.676,in_progress,0.0
0,24.0,4.567250774716313,0.6418152485273535,-2.159058653422373,-10.000000000000004,1.0,4,1.0,False,True,8.512560207947995,10,17.709159380834848,7.742,in_progress,0.0
0,25.0,4.636539223142626,0.6333960960451475,-3.4654828253149192,-10.000000000000004,1.0,4,1.0,False,True,8.90380040039995,11,17.709159380834848,7.809,in_progress,0.0
0,26.0,4.702905306243562,0.6212105160788264,-5.271982024174636,20.0,1.0,10,1.0,False,True,9.278530777592518,11,17.709159380834848,7.876,in_progress,0.0
0,27.0,4.772793188543604,0.6081951069956973,-6.7026859103028125,0.0,1.0,6,1.0,False,True,9.673138998361006,11,17.709159380834848,7.944,in_progress,0.0
0,28.0,4.839255456040279,0.5989980386206161,-7.024526688840517,0.0,1.0,6,0.5,False,True,10.048417820584914,12,17.709159380834848,8.01,in_progress,0.0
0,29.0,4.91073634557432,0.5872609706738221,-7.64792418613361,30.0,1.0,12,0.5,False,True,10.452027973848004,12,17.709159380834848,8.079,in_progress,0.0
0,30.0,4.979174695105416,0.5759991181511728,-8.119566373514843,30.0,1.0,12,0.5,False,True,10.838460574738956,13,17.709159380834848,8.143,in_progress,0.0
0,31.0,5.048047066940327,0.5743701985331667,-6.332021734266076,30.0,1.0,12,0.5,False,True,11.227387763516651,13,17.709159380834848,8.208,in_progress,0.0
0,32.0,5.11798346112119,0.5797279853563725,-3.4084710307595785,0.0,1.0,6,0.5,False,True,11.622314908511946,14,17.709159380834848,8.274000000000001,in_progress,0.0
